benefit_id,employee_id,benefit_type,plan_name,coverage_level,monthly_premium,employer_contribution,employee_contribution,enrollment_date,status,created_at,updated_at
10001,1001,Health Insurance,Premium Health Plan,Family,850,680,170,2020-01-15,Active,2020-01-15 09:00:00,2024-02-16 10:30:00
10002,1002,Health Insurance,Standard Health Plan,Individual,350,280,70,2020-03-22,Active,2020-03-22 09:00:00,2024-02-16 10:30:00
10003,1003,Health Insurance,Premium Health Plan,Individual,450,360,90,2020-06-10,Active,2020-06-10 09:00:00,2024-02-16 10:30:00
10004,1004,Health Insurance,Standard Health Plan,Family,650,520,130,2021-01-05,Active,2021-01-05 09:00:00,2024-02-16 10:30:00
10005,1005,Health Insurance,Premium Health Plan,Spouse,650,520,130,2021-04-18,Active,2021-04-18 09:00:00,2024-02-16 10:30:00
10006,1006,Dental Insurance,Complete Dental,Family,120,96,24,2021-07-23,Active,2021-07-23 09:00:00,2024-02-16 10:30:00
10007,1007,Vision Insurance,Vision Plus,Individual,25,20,5,2021-09-14,Active,2021-09-14 09:00:00,2024-02-16 10:30:00
10008,1008,Life Insurance,Term Life 500K,Individual,85,68,17,2022-01-30,Active,2022-01-30 09:00:00,2024-02-16 10:30:00
10009,1009,Health Insurance,Standard Health Plan,Individual,350,280,70,2022-05-11,Active,2022-05-11 09:00:00,2024-02-16 10:30:00
10010,1010,Dental Insurance,Basic Dental,Family,85,68,17,2022-08-25,Active,2022-08-25 09:00:00,2024-02-16 10:30:00
10011,1011,Health Insurance,Premium Health Plan,Family,850,680,170,2023-01-16,Active,2023-01-16 09:00:00,2024-02-16 10:30:00
10012,1012,Vision Insurance,Vision Basic,Individual,15,12,3,2023-03-20,Active,2023-03-20 09:00:00,2024-02-16 10:30:00
10013,1013,Life Insurance,Term Life 1M,Individual,145,116,29,2023-06-05,Active,2023-06-05 09:00:00,2024-02-16 10:30:00
10014,1014,Health Insurance,Premium Health Plan,Spouse,650,520,130,2023-09-12,Active,2023-09-12 09:00:00,2024-02-16 10:30:00
10015,1015,Dental Insurance,Complete Dental,Individual,55,44,11,2024-01-08,Active,2024-01-08 09:00:00,2024-02-16 10:30:00
