department_id,department_name,department_code,parent_dept_id,hod_employee_id,location,headcount,annual_budget,cost_center_code,department_status,established_date,created_at,updated_at
DEPT001,Human Resources,D001,,EMP00001,Chennai,47,31795533.28,CC5543,Restructured,2016-10-26,2018-02-27 12:45:53,2025-10-04 12:45:53
DEPT002,Information Technology,D002,,EMP00002,Mumbai,133,16389264.44,CC9655,Restructured,2019-02-20,2020-12-19 12:45:53,2025-08-28 12:45:53
DEPT003,Finance,D003,DEPT002,EMP00003,Delhi,82,20981575.9,CC9490,Restructured,2023-07-17,2017-04-26 12:45:53,2025-08-27 12:45:53
DEPT004,Operations,D004,,EMP00004,Bangalore,76,46435235.0,CC5024,Active,2023-07-03,2020-07-20 12:45:53,2025-12-06 12:45:53
DEPT005,Sales,D005,DEPT004,EMP00005,Hyderabad,21,37616047.42,CC3018,Merged,2021-05-29,2018-05-19 12:45:53,2025-12-09 12:45:53
DEPT006,Marketing,D006,,EMP00006,Pune,95,26471840.02,CC5986,Restructured,2019-10-08,2022-01-19 12:45:53,2025-08-25 12:45:53
DEPT007,Customer Support,D007,,EMP00007,Kolkata,13,18546632.4,CC3029,Active,2022-06-17,2023-01-31 12:45:53,2026-01-17 12:45:53
DEPT008,Legal & Compliance,D008,DEPT007,EMP00008,Ahmedabad,5,3351055.9,CC5512,Merged,2021-11-08,2021-12-20 12:45:53,2025-08-27 12:45:53
DEPT009,Research & Development,D009,DEPT008,EMP00009,Madurai,122,30084209.52,CC6866,Restructured,2020-09-04,2018-09-05 12:45:53,2026-01-30 12:45:53
DEPT010,Administration,D010,,EMP00010,Coimbatore,102,19268863.31,CC6923,Active,2016-08-23,2021-05-25 12:45:53,2026-02-13 12:45:53
DEPT011,Supply Chain,D011,DEPT010,EMP00011,Kochi,118,36289868.62,CC3674,Restructured,2017-04-07,2018-09-17 12:45:53,2026-02-08 12:45:53
DEPT012,Quality Assurance,D012,DEPT011,EMP00012,Jaipur,77,23403106.58,CC7915,Restructured,2021-03-17,2018-10-31 12:45:53,2025-09-10 12:45:53
DEPT013,Business Development,D013,DEPT012,EMP00013,Lucknow,128,19697099.13,CC7506,Merged,2020-06-26,2022-04-02 12:45:53,2026-01-20 12:45:53
DEPT014,Data & Analytics,D014,DEPT013,EMP00014,Nagpur,86,31289928.33,CC5688,Inactive,2020-03-01,2019-05-01 12:45:53,2025-10-28 12:45:53
DEPT015,Product Management,D015,DEPT014,EMP00015,Surat,90,46307799.79,CC7033,Active,2017-02-13,2023-12-27 12:45:53,2025-12-20 12:45:53
DEPT016,Security,D016,,EMP00016,Indore,74,42469038.92,CC2280,Active,2021-11-26,2022-01-06 12:45:53,2025-12-28 12:45:53
DEPT017,Training & Development,D017,DEPT016,EMP00017,Bhopal,23,3693248.43,CC1180,Restructured,2018-03-17,2016-07-04 12:45:53,2025-11-13 12:45:53
DEPT018,Payroll,D018,,EMP00018,Patna,44,20964048.03,CC2460,Inactive,2019-01-03,2023-09-08 12:45:53,2026-02-11 12:45:53
DEPT019,Recruitment,D019,,EMP00019,Vadodara,58,39676122.12,CC4735,Active,2020-05-18,2020-01-08 12:45:53,2026-01-25 12:45:53
DEPT020,Executive Leadership,D020,DEPT019,EMP00020,Visakhapatnam,132,43420262.58,CC1508,Active,2024-01-22,2018-07-20 12:45:53,2025-12-04 12:45:53
