branch_id,branch_name,branch_code,ifsc_code,micr_code,branch_type,address,city,state,pincode,manager_staff_id,phone,email,working_hours,established_date,last_audit_at,created_at,updated_at
BR0001,Anna Nagar Main,BC0001,PNBK0000001,976638,Full Service,"4, Main Street",Chennai,Tamil Nadu,797543,STF00001,044-41726318,branch1@purenationalbank.in,Mon-Fri 9AM-4PM,2018-12-08,2026-01-05 13:00:36,2016-10-25 13:00:36,2017-08-07 13:00:36
BR0002,Bandra West,BC0002,PNBK0000002,520521,Mini Branch,"16, Gandhi Nagar",Mumbai,Maharashtra,699346,STF00002,044-10289289,branch2@purenationalbank.in,Mon-Sat 9AM-3PM,2012-01-07,2025-09-15 13:00:36,2018-09-25 13:00:36,2019-01-22 13:00:36
BR0003,Connaught Place,BC0003,PNBK0000003,830429,Extension Counter,"188, MG Road",Delhi,Delhi,640580,STF00003,044-35487660,branch3@purenationalbank.in,Mon-Sat 9AM-3PM,2015-03-09,2025-09-23 13:00:36,2020-12-06 13:00:36,2021-07-20 13:00:36
BR0004,Koramangala,BC0004,PNBK0000004,668532,Digital Branch,"16, Civil Lines",Bangalore,Karnataka,614986,STF00004,044-16729990,branch4@purenationalbank.in,Mon-Fri 10AM-4PM,2016-04-01,2026-01-03 13:00:36,2017-08-20 13:00:36,2018-09-10 13:00:36
BR0005,Jubilee Hills,BC0005,PNBK0000005,159642,ATM Branch,"131, Main Street",Hyderabad,Telangana,648713,STF00005,044-19196777,branch5@purenationalbank.in,Mon-Fri 10AM-4PM,2010-06-10,2025-09-11 13:00:36,2018-03-05 13:00:36,2018-06-03 13:00:36
BR0006,Kothrud,BC0006,PNBK0000006,697347,Corporate Branch,"64, Main Street",Pune,Maharashtra,762368,STF00006,044-21003626,branch6@purenationalbank.in,Mon-Sat 9AM-3PM,2019-08-11,2025-11-18 13:00:36,2019-08-09 13:00:36,2019-10-19 13:00:36
BR0007,Park Street,BC0007,PNBK0000007,431737,Priority Banking,"67, Gandhi Nagar",Kolkata,West Bengal,775565,STF00007,044-52169044,branch7@purenationalbank.in,Mon-Fri 9AM-4PM,2006-05-22,2025-08-21 13:00:36,2017-10-16 13:00:36,2018-07-20 13:00:36
BR0008,Navrangpura,BC0008,PNBK0000008,776856,NRI Branch,"77, MG Road",Ahmedabad,Gujarat,682884,STF00008,044-19736572,branch8@purenationalbank.in,Mon-Fri 9AM-4PM,2015-03-06,2025-10-08 13:00:36,2022-08-30 13:00:36,2023-08-18 13:00:36
BR0009,Madurai Town,BC0009,PNBK0000009,663750,Rural,"55, Civil Lines",Madurai,Tamil Nadu,634723,STF00009,044-56843172,branch9@purenationalbank.in,Mon-Fri 9AM-4PM,2010-11-08,2025-08-26 13:00:36,2023-01-04 13:00:36,2023-02-20 13:00:36
BR0010,RS Puram,BC0010,PNBK0000010,559469,Semi-Urban,"140, Civil Lines",Coimbatore,Tamil Nadu,760348,STF00010,044-97775215,branch10@purenationalbank.in,Mon-Fri 10AM-4PM,2015-08-27,2025-10-15 13:00:36,2020-12-07 13:00:36,2021-03-07 13:00:36
BR0011,Velachery,BC0011,PNBK0000011,795613,Full Service,"27, Gandhi Nagar",Kochi,Kerala,669329,STF00011,044-25492573,branch11@purenationalbank.in,Mon-Fri 9AM-4PM,2020-12-15,2025-08-29 13:00:36,2020-10-09 13:00:36,2022-02-08 13:00:36
