promo_id,promo_name,promo_code,promo_type,channel,discount_value,min_order_value,max_discount_cap,usage_limit,used_count,applicable_category,promo_status,valid_from,valid_until,created_at,updated_at
PRM00001,Mega Sale 50%,PROMO001L,Percentage Discount,All Channels,42.65,662.33,764.23,3858,4293,Electronics,Expired,2025-12-05,2026-01-24,2025-10-01 12:08:37,2026-02-10 12:08:37
PRM00002,Flat 200 Off,PROMO002P,Flat Discount,Online Only,806.14,4753.14,777.46,3195,3484,Clothing,Expired,2025-08-18,2025-11-07,2026-01-08 12:08:37,2026-02-05 12:08:37
PRM00003,Buy 2 Get 1,PROMO003M,Buy X Get Y,In-Store Only,1740.32,3124.17,958.63,2643,3234,Groceries,Exhausted,2025-11-24,2025-12-19,2025-04-21 12:08:37,2026-02-02 12:08:37
PRM00004,10% Cashback,PROMO004G,Cashback,Mobile App,1047.39,4951.56,791.41,837,3128,Home & Kitchen,Paused,2025-08-25,2025-09-29,2025-11-13 12:08:37,2026-01-16 12:08:37
PRM00005,Free Delivery Week,PROMO005H,Free Shipping,Email,993.8,1252.99,175.23,9274,623,Beauty,Active,2025-11-24,2025-12-13,2025-06-24 12:08:37,2026-01-29 12:08:37
PRM00006,Electronics Bundle,PROMO006F,Bundle Deal,SMS,440.75,463.27,245.25,8911,2463,Sports,Scheduled,2025-09-04,2025-11-17,2025-11-03 12:08:37,2026-01-23 12:08:37
PRM00007,Flash Friday,PROMO007E,Flash Sale,Push Notification,1842.56,4146.76,855.34,9699,3210,Books,Paused,2025-11-17,2025-12-17,2025-07-13 12:08:37,2026-01-20 12:08:37
PRM00008,Diwali Special,PROMO008J,Seasonal Sale,Social Media,1183.2,1941.2,344.5,4442,3630,Toys,Scheduled,2025-10-15,2025-12-12,2025-05-18 12:08:37,2026-01-16 12:08:37
PRM00009,Gold Member Reward,PROMO009J,Loyalty Reward,Affiliate,1985.61,1584.01,320.71,2062,3120,Furniture,Exhausted,2025-10-13,2025-12-29,2025-04-20 12:08:37,2026-02-09 12:08:37
PRM00010,Refer & Earn,PROMO010J,Referral Bonus,Bulk,1200.57,845.34,668.68,3261,336,Footwear,Exhausted,2025-11-13,2025-12-14,2025-03-29 12:08:37,2026-02-05 12:08:37
PRM00011,Summer Clearance,PROMO011H,Percentage Discount,All Channels,23.95,2488.28,753.81,4192,1978,Electronics,Active,2025-10-10,2025-11-10,2025-07-01 12:08:37,2026-02-01 12:08:37
PRM00012,New Year Deal,PROMO012J,Flat Discount,Online Only,1663.4,1754.5,286.29,8321,4880,Clothing,Paused,2025-09-11,2025-11-25,2025-06-30 12:08:37,2026-02-09 12:08:37
PRM00013,Monsoon Sale,PROMO013H,Buy X Get Y,In-Store Only,1574.19,1050.2,830.38,5857,903,Groceries,Scheduled,2025-12-11,2026-02-16,2025-10-02 12:08:37,2026-01-26 12:08:37
PRM00014,Back to School,PROMO014M,Cashback,Mobile App,605.06,4253.38,637.13,8469,870,Home & Kitchen,Paused,2025-10-08,2025-10-16,2025-09-25 12:08:37,2026-02-09 12:08:37
PRM00015,Weekend Special,PROMO015G,Free Shipping,Email,395.37,639.77,800.54,9534,2503,Beauty,Active,2025-09-26,2025-10-23,2025-12-16 12:08:37,2026-01-25 12:08:37
PRM00016,App Exclusive 15%,PROMO016F,Bundle Deal,SMS,298.57,4492.12,874.73,9321,4982,Sports,Paused,2025-09-06,2025-09-19,2025-08-08 12:08:37,2026-02-11 12:08:37
PRM00017,First Order 20%,PROMO017N,Flash Sale,Push Notification,1736.6,4427.25,748.46,5652,4625,Books,Active,2025-12-08,2026-02-02,2025-12-18 12:08:37,2026-02-11 12:08:37
PRM00018,Festival Bonanza,PROMO018E,Seasonal Sale,Social Media,535.38,3219.84,640.01,7552,1085,Toys,Paused,2025-12-05,2026-01-07,2025-05-11 12:08:37,2026-02-04 12:08:37
PRM00019,End of Season,PROMO019D,Loyalty Reward,Affiliate,1880.85,4692.98,246.21,3785,653,Furniture,Active,2025-11-26,2026-01-17,2025-06-03 12:08:37,2026-01-16 12:08:37
PRM00020,Loyalty Boost,PROMO020A,Referral Bonus,Bulk,456.55,2978.81,976.52,5670,3747,Footwear,Scheduled,2025-12-22,2026-01-16,2025-11-18 12:08:37,2026-01-29 12:08:37
