budget_id,client_id,account_id,department,fiscal_year,fiscal_quarter,budget_category,allocated_amount,spent_amount,committed_amount,variance,budget_status,period_start_date,period_end_date,approved_by,created_at,updated_at
BDG00001,CLI00001,ACC000001,Operations,FY2025-26,Q1,Office Rent,706455.79,71322.2,31614.14,603519.45,Under Utilized,2025-10-01,2025-12-30,Suresh Gupta,2024-10-20 11:54:43,2026-02-09 11:54:43
BDG00002,CLI00002,ACC000002,Technology,FY2025-26,Q1,Salaries,2375190.32,1820338.36,160221.85,394630.11,Approved,2025-07-01,2025-09-29,Kavitha Singh,2024-05-09 11:54:43,2026-02-02 11:54:43
BDG00003,CLI00003,ACC000003,Marketing,FY2025-26,Q4,Software License,2640640.31,1118130.88,213875.2,1308634.23,Closed,2024-04-01,2024-06-30,Vijay Verma,2024-08-06 11:54:43,2025-12-09 11:54:43
BDG00004,CLI00004,ACC000004,Human Resources,FY2025-26,Q2,Travel,3025778.44,1244629.5,380776.05,1400372.89,Over Budget,2025-10-01,2025-12-30,Lakshmi Rao,2025-01-16 11:54:43,2025-12-23 11:54:43
BDG00005,CLI00005,ACC000005,Finance,FY2025-26,Q4,Marketing,936614.5,776645.4,52644.58,107324.52,Over Budget,2024-07-01,2024-09-29,Karthik Devi,2025-04-28 11:54:43,2026-01-04 11:54:43
BDG00006,CLI00006,ACC000006,Compliance,FY2025-26,Q3,Legal & Compliance,1974512.3,1743715.43,416791.01,-185994.14,Under Utilized,2025-10-01,2025-12-30,Divya Krishnan,2024-03-22 11:54:43,2025-12-22 11:54:43
BDG00007,CLI00007,ACC000007,Research,FY2025-26,Q2,Research,1375413.22,664113.82,179998.71,531300.69,Under Utilized,2024-04-01,2024-06-30,Rajesh Bose,2024-10-04 11:54:43,2026-01-11 11:54:43
BDG00008,CLI00008,ACC000008,Sales,FY2025-26,Q2,IT Infrastructure,4657846.96,2674969.02,19855.88,1963022.06,Approved,2024-10-01,2024-12-30,Sunita Shah,2024-11-06 11:54:43,2026-01-18 11:54:43
BDG00009,CLI00009,ACC000009,Legal,FY2025-26,Q1,Training,4439092.52,914169.79,240271.25,3284651.48,Under Utilized,2025-01-01,2025-04-01,Mohan Joshi,2025-01-30 11:54:43,2026-02-13 11:54:43
BDG00010,CLI00010,ACC000010,Admin,FY2025-26,Q2,Utilities,4121448.93,2216674.42,793475.67,1111298.84,Approved,2024-07-01,2024-09-29,Anitha Mishra,2024-09-18 11:54:43,2026-02-03 11:54:43
BDG00011,CLI00011,ACC000011,Operations,FY2025-26,Q3,Office Rent,2637187.13,1816708.0,401080.76,419398.37,Closed,2025-01-01,2025-04-01,Ganesh Chatterjee,2025-04-03 11:54:43,2025-11-30 11:54:43
BDG00012,CLI00012,ACC000012,Technology,FY2025-26,Q4,Salaries,4064869.48,3756119.83,147109.28,161640.37,Under Utilized,2025-04-01,2025-06-30,Shalini Kumar,2024-05-28 11:54:43,2026-02-04 11:54:43
BDG00013,CLI00013,ACC000013,Marketing,FY2025-26,Q1,Software License,3413143.79,3688150.03,325768.35,-600774.59,Over Budget,2024-07-01,2024-09-29,Bala Sharma,2024-05-16 11:54:43,2025-12-24 11:54:43
BDG00014,CLI00014,ACC000014,Human Resources,FY2025-26,Q1,Travel,1737886.98,1571362.38,390327.48,-223802.88,On Track,2024-04-01,2024-06-30,Rekha Nair,2024-11-28 11:54:43,2025-12-30 11:54:43
BDG00015,CLI00015,ACC000015,Finance,FY2025-26,Q1,Marketing,2166004.51,2115404.98,633822.54,-583223.01,Over Budget,2024-10-01,2024-12-30,Senthil Patel,2024-06-08 11:54:43,2026-01-24 11:54:43
BDG00016,CLI00016,ACC000016,Compliance,FY2025-26,Q2,Legal & Compliance,3635422.69,3100933.62,329637.75,204851.32,Over Budget,2024-01-01,2024-03-31,Nithya Reddy,2024-08-07 11:54:43,2026-02-04 11:54:43
BDG00017,CLI00017,ACC000017,Research,FY2025-26,Q1,Research,3249195.67,492872.43,117624.1,2638699.14,On Track,2024-07-01,2024-09-29,Arun Iyer,2025-03-26 11:54:43,2025-12-16 11:54:43
BDG00018,CLI00018,ACC000018,Sales,FY2025-26,Q1,IT Infrastructure,4740030.17,2072857.92,875133.97,1792038.28,Over Budget,2025-10-01,2025-12-30,Priya Pillai,2025-01-09 11:54:43,2026-02-06 11:54:43
BDG00019,CLI00019,ACC000019,Legal,FY2025-26,Q2,Training,2097492.64,1747840.54,20123.88,329528.22,Under Utilized,2024-01-01,2024-03-31,Rahul Menon,2024-07-17 11:54:43,2026-01-11 11:54:43
BDG00020,CLI00020,ACC000020,Admin,FY2025-26,Q2,Utilities,4272130.18,2622780.02,1102158.92,547191.24,Under Utilized,2025-04-01,2025-06-30,Meera Das,2025-03-16 11:54:43,2025-12-14 11:54:43
