expense_id,client_id,account_id,category,description,amount,currency,payment_mode,vendor_name,receipt_number,expense_status,expense_date,approved_by,approved_at,created_at,updated_at
EXP000001,CLI00001,ACC000001,Office Rent,Office Rent expense for February 2026,323429.11,INR,Corporate Card,AWS India,RCP631673,Rejected,2025-09-08 11:54:43,,,2026-01-11 11:54:43,2026-01-06 11:54:43
EXP000002,CLI00002,ACC000002,Salaries,Salaries expense for February 2026,472867.14,USD,Bank Transfer,Microsoft India,RCP782935,Approved,2026-02-07 11:54:43,Karthik Reddy,2026-02-08 11:54:43,2025-12-29 11:54:43,2026-01-15 11:54:43
EXP000003,CLI00003,ACC000003,Software License,Software License expense for February 2026,475810.1,EUR,Cash,Zoom Video,RCP386175,Partially Approved,2025-10-23 11:54:43,,,2025-11-10 11:54:43,2025-12-22 11:54:43
EXP000004,CLI00004,ACC000004,Travel,Travel expense for February 2026,428332.94,GBP,Petty Cash,Salesforce,RCP947191,Approved,2025-09-04 11:54:43,Rajesh Pillai,2025-12-22 11:54:43,2025-09-17 11:54:43,2026-02-07 11:54:43
EXP000005,CLI00005,ACC000005,Marketing,Marketing expense for February 2026,482155.91,SGD,Cheque,Oracle India,RCP233168,Approved,2026-01-27 11:54:43,Sunita Menon,2025-12-17 11:54:43,2025-10-08 11:54:43,2025-12-20 11:54:43
EXP000006,CLI00006,ACC000006,Legal & Compliance,Legal & Compliance expense for February 2026,201866.57,AED,UPI,Adobe Systems,RCP791692,Pending,2025-08-17 11:54:43,,,2025-12-06 11:54:43,2025-12-17 11:54:43
EXP000007,CLI00007,ACC000007,Research,Research expense for February 2026,166915.15,JPY,NEFT,Google Cloud,RCP669557,Rejected,2025-10-20 11:54:43,,,2025-11-01 11:54:43,2026-01-19 11:54:43
EXP000008,CLI00008,ACC000008,IT Infrastructure,IT Infrastructure expense for February 2026,287756.93,CHF,RTGS,IBM India,RCP876357,Rejected,2026-02-11 11:54:43,,,2025-12-04 11:54:43,2026-01-15 11:54:43
EXP000009,CLI00009,ACC000009,Training,Training expense for February 2026,292739.15,CAD,Online Wallet,Accenture,RCP553327,Approved,2025-12-08 11:54:43,Shalini Verma,2026-02-09 11:54:43,2025-11-12 11:54:43,2026-01-05 11:54:43
EXP000010,CLI00010,ACC000010,Utilities,Utilities expense for February 2026,482400.76,AUD,Auto Debit,Deloitte,RCP489491,Partially Approved,2025-08-31 11:54:43,,,2025-11-24 11:54:43,2026-01-07 11:54:43
EXP000011,CLI00011,ACC000011,Office Rent,Office Rent expense for February 2026,387627.85,INR,Corporate Card,PwC India,RCP542508,Rejected,2026-01-02 11:54:43,,,2025-10-22 11:54:43,2026-01-05 11:54:43
EXP000012,CLI00012,ACC000012,Salaries,Salaries expense for February 2026,305026.94,USD,Bank Transfer,KPMG,RCP567455,Approved,2025-09-14 11:54:43,Senthil Krishnan,2026-01-22 11:54:43,2025-09-09 11:54:43,2026-01-17 11:54:43
EXP000013,CLI00013,ACC000013,Software License,Software License expense for February 2026,404685.44,EUR,Cash,EY India,RCP103143,Rejected,2025-11-05 11:54:43,,,2025-09-18 11:54:43,2026-01-28 11:54:43
EXP000014,CLI00014,ACC000014,Travel,Travel expense for February 2026,253908.64,GBP,Petty Cash,TCS Consulting,RCP520023,Approved,2025-11-08 11:54:43,Arun Shah,2026-02-11 11:54:43,2026-01-29 11:54:43,2026-02-13 11:54:43
EXP000015,CLI00015,ACC000015,Marketing,Marketing expense for February 2026,354646.09,SGD,Cheque,Infosys BPM,RCP396568,Rejected,2025-12-10 11:54:43,,,2025-11-10 11:54:43,2025-12-27 11:54:43
EXP000016,CLI00016,ACC000016,Legal & Compliance,Legal & Compliance expense for February 2026,419937.93,AED,UPI,HCL Services,RCP395588,Rejected,2025-11-10 11:54:43,,,2025-12-31 11:54:43,2026-02-13 11:54:43
EXP000017,CLI00017,ACC000017,Research,Research expense for February 2026,275039.48,JPY,NEFT,Tech Mahindra,RCP230535,Approved,2025-08-18 11:54:43,Meera Chatterjee,2026-01-10 11:54:43,2025-11-14 11:54:43,2026-02-03 11:54:43
EXP000018,CLI00018,ACC000018,IT Infrastructure,IT Infrastructure expense for February 2026,482723.79,CHF,RTGS,Wipro BPO,RCP488277,Approved,2025-12-11 11:54:43,Suresh Kumar,2026-01-21 11:54:43,2026-01-06 11:54:43,2026-01-19 11:54:43
EXP000019,CLI00019,ACC000019,Training,Training expense for February 2026,60642.69,CAD,Online Wallet,Capgemini,RCP846915,Partially Approved,2025-09-27 11:54:43,,,2025-11-27 11:54:43,2026-01-22 11:54:43
EXP000020,CLI00020,ACC000020,Utilities,Utilities expense for February 2026,300929.35,AUD,Auto Debit,Cognizant,RCP444819,Reimbursed,2025-09-06 11:54:43,Vijay Nair,2026-01-03 11:54:43,2025-09-25 11:54:43,2026-01-04 11:54:43
